Area,Line,Date,TrapName,TrapChecked,Triggered,Set,Species,Sex,Age,PestID,Bait,Comments,SampleID,SampleCondition,Latitude,Longitude,TrapType,TimeTaken,Username,FirstName
Mataia,Back Block,11-9-2014,ST202,Y,Y,Y,Ship Rat,,,PestID: 954,Meat& Egg,,,,-36.487421,174.423454,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST203,Y,N,Y,,,,,Meat& Egg,,,,-36.487101,174.424409,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST204,Y,N,Y,,,,,Meat& Egg,,,,-36.486423,174.424962,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST205,Y,N,Y,,,,,Meat& Egg,,,,-36.485618,174.425474,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST206,Y,N,Y,,,,,Meat& Egg,,,,-36.484827,174.425985,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST207,Y,N,Y,,,,,Meat& Egg,,,,-36.484107,174.426375,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST208,Y,N,Y,,,,,Meat& Egg,,,,-36.48331,174.426669,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST209,Y,N,Y,,,,,Meat& Egg,,,,-36.482238,174.426655,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST210,Y,N,Y,,,,,Meat& Egg,,,,-36.481087,174.426757,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST211,Y,N,Y,,,,,Meat& Egg,,,,-36.480089,174.426204,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST212,Y,N,Y,,,,,Meat& Egg,,,,-36.479247,174.425908,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST213,Y,N,Y,,,,,Meat& Egg,,,,-36.478267,174.426074,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST214,Y,N,Y,,,,,Meat& Egg,,,,-36.477541,174.426049,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST215,Y,N,Y,,,,,Meat& Egg,,,,-36.476432,174.426012,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST216,Y,N,Y,,,,,Meat& Egg,,,,-36.475577,174.425992,DOC200,Unspecified,kgadshead,Kevin & Gill
